Province,Year,Month,MonthNum,Cases,Deaths
Banteay Meanchey,2022,Nov,11,100,0
Banteay Meanchey,2022,Dec,12,76,0
Banteay Meanchey,2023,Jan,1,47,0
Banteay Meanchey,2023,Feb,2,17,0
Banteay Meanchey,2023,Mar,3,40,0
Banteay Meanchey,2023,Apr,4,63,0
Banteay Meanchey,2023,May,5,121,0
Banteay Meanchey,2023,Jun,6,325,1
Banteay Meanchey,2023,Jul,7,730,3
Banteay Meanchey,2023,Aug,8,1034,3
Banteay Meanchey,2023,Sep,9,1064,2
Banteay Meanchey,2023,Oct,10,864,1
Banteay Meanchey,2023,Nov,11,547,1
Banteay Meanchey,2023,Dec,12,282,3
Banteay Meanchey,2024,Jan,1,128,1
Banteay Meanchey,2024,Feb,2,53,0
Banteay Meanchey,2024,Mar,3,22,0
Banteay Meanchey,2024,Apr,4,29,0
Banteay Meanchey,2024,May,5,8,0
Banteay Meanchey,2024,Jun,6,17,0
Banteay Meanchey,2024,Jul,7,29,0
Banteay Meanchey,2024,Aug,8,83,0
Banteay Meanchey,2024,Sep,9,89,0
Banteay Meanchey,2024,Oct,10,99,0
Banteay Meanchey,2025,Jan,1,29,0
Banteay Meanchey,2025,Feb,2,7,0
Banteay Meanchey,2025,Mar,3,21,0
Banteay Meanchey,2025,Apr,4,36,0
Banteay Meanchey,2025,May,5,72,0
Banteay Meanchey,2025,Jun,6,186,0
Banteay Meanchey,2025,Jul,7,417,2
Banteay Meanchey,2025,Aug,8,392,0
Banteay Meanchey,2025,Sep,9,322,1
Banteay Meanchey,2025,Oct,10,400,1
Banteay Meanchey,2025,Nov,11,262,1
Banteay Meanchey,2025,Dec,12,116,0
Banteay Meanchey,2026,Jan,1,78,0
Banteay Meanchey,2026,Feb,2,31,0
Banteay Meanchey,2026,Mar,3,72,0
Banteay Meanchey,2026,Apr,4,67,1
Banteay Meanchey,2026,May,5,89,0
Banteay Meanchey,2026,Jun,6,598,1
Banteay Meanchey,2026,Jul,7,924,1
Battambang,2018,Jan,1,5,0
Battambang,2018,Feb,2,3,0
Battambang,2018,Mar,3,6,0
Battambang,2018,Apr,4,8,0
Battambang,2018,May,5,18,0
Battambang,2018,Jun,6,46,0
Battambang,2018,Jul,7,70,0
Battambang,2018,Aug,8,77,0
Battambang,2018,Sep,9,81,1
Battambang,2018,Oct,10,71,0
Battambang,2018,Nov,11,66,0
Battambang,2018,Dec,12,64,0
Battambang,2019,Jan,1,47,0
Battambang,2019,Feb,2,62,0
Battambang,2019,Mar,3,94,0
Battambang,2019,Apr,4,161,0
Battambang,2019,May,5,449,3
Battambang,2019,Jun,6,916,1
Battambang,2019,Jul,7,932,3
Battambang,2019,Aug,8,616,2
Battambang,2019,Sep,9,182,1
Battambang,2019,Oct,10,150,2
Battambang,2019,Nov,11,68,0
Battambang,2019,Dec,12,21,0
Battambang,2020,Jan,1,19,0
Battambang,2020,Feb,2,8,0
Battambang,2020,Mar,3,3,0
Battambang,2020,Apr,4,8,0
Battambang,2020,May,5,11,0
Battambang,2020,Jun,6,62,0
Battambang,2020,Jul,7,186,1
Battambang,2020,Aug,8,228,0
Battambang,2020,Sep,9,114,0
Battambang,2020,Oct,10,31,0
Battambang,2020,Nov,11,1,0
Battambang,2020,Dec,12,2,0
Battambang,2021,Jan,1,2,0
Battambang,2021,May,5,1,0
Battambang,2021,Jun,6,7,0
Battambang,2021,Aug,8,1,0
Battambang,2021,Sep,9,3,0
Battambang,2021,Oct,10,4,0
Battambang,2021,Nov,11,2,0
Battambang,2021,Dec,12,3,0
Battambang,2022,Mar,3,1,0
Battambang,2022,Apr,4,7,0
Battambang,2022,May,5,11,0
Battambang,2022,Jun,6,48,0
Battambang,2022,Jul,7,56,0
Battambang,2022,Aug,8,47,0
Battambang,2022,Sep,9,48,0
Battambang,2022,Oct,10,39,0
Battambang,2022,Nov,11,39,0
Battambang,2022,Dec,12,22,0
Battambang,2023,Jan,1,6,0
Battambang,2023,Feb,2,1,0
Battambang,2023,Mar,3,15,0
Battambang,2023,Apr,4,20,0
Battambang,2023,May,5,43,0
Battambang,2023,Jun,6,114,0
Battambang,2023,Jul,7,180,0
Battambang,2023,Aug,8,265,0
Battambang,2023,Sep,9,253,0
Battambang,2023,Oct,10,203,2
Battambang,2023,Nov,11,189,1
Battambang,2023,Dec,12,129,0
Battambang,2024,Jan,1,81,0
Battambang,2024,Feb,2,35,0
Battambang,2024,Mar,3,38,0
Battambang,2024,Apr,4,21,0
Battambang,2024,May,5,13,0
Battambang,2024,Jun,6,13,0
Battambang,2024,Jul,7,36,0
Battambang,2024,Aug,8,57,0
Battambang,2024,Sep,9,31,0
Battambang,2024,Oct,10,44,0
Battambang,2025,Jan,1,24,0
Battambang,2025,Feb,2,4,0
Battambang,2025,Mar,3,14,0
Battambang,2025,Apr,4,18,0
Battambang,2025,May,5,63,0
Battambang,2025,Jun,6,168,2
Battambang,2025,Jul,7,381,2
Battambang,2025,Aug,8,481,3
Battambang,2025,Sep,9,308,0
Battambang,2025,Oct,10,393,1
Battambang,2025,Nov,11,284,0
Battambang,2025,Dec,12,110,0
Battambang,2026,Jan,1,86,0
Battambang,2026,Feb,2,42,0
Battambang,2026,Mar,3,68,0
Battambang,2026,Apr,4,66,0
Battambang,2026,May,5,101,1
Battambang,2026,Jun,6,815,1
Battambang,2026,Jul,7,1366,4
EXAMPLE,2026,Jun,6,815,1
Kampong Cham,2018,Jan,1,21,0
Kampong Cham,2018,Feb,2,14,0
Kampong Cham,2018,Mar,3,23,0
Kampong Cham,2018,Apr,4,33,0
Kampong Cham,2018,May,5,76,0
Kampong Cham,2018,Jun,6,162,1
Kampong Cham,2018,Jul,7,146,0
Kampong Cham,2018,Aug,8,159,0
Kampong Cham,2018,Sep,9,154,0
Kampong Cham,2018,Oct,10,98,0
Kampong Cham,2018,Nov,11,113,0
Kampong Cham,2018,Dec,12,57,0
Kampong Cham,2019,Jan,1,92,0
Kampong Cham,2019,Feb,2,88,0
Kampong Cham,2019,Mar,3,139,1
Kampong Cham,2019,Apr,4,317,1
Kampong Cham,2019,May,5,351,0
Kampong Cham,2019,Jun,6,905,3
Kampong Cham,2019,Jul,7,905,3
Kampong Cham,2019,Aug,8,544,0
Kampong Cham,2019,Sep,9,152,0
Kampong Cham,2019,Oct,10,107,0
Kampong Cham,2019,Nov,11,73,0
Kampong Cham,2019,Dec,12,35,0
Kampong Cham,2020,Jan,1,16,0
Kampong Cham,2020,Feb,2,10,0
Kampong Cham,2020,Mar,3,12,0
Kampong Cham,2020,Apr,4,7,0
Kampong Cham,2020,May,5,21,0
Kampong Cham,2020,Jun,6,40,0
Kampong Cham,2020,Jul,7,82,0
Kampong Cham,2020,Aug,8,175,0
Kampong Cham,2020,Sep,9,80,0
Kampong Cham,2020,Oct,10,61,0
Kampong Cham,2020,Nov,11,49,0
Kampong Cham,2020,Dec,12,29,0
Kampong Cham,2021,Jan,1,17,0
Kampong Cham,2021,Feb,2,11,0
Kampong Cham,2021,Mar,3,4,0
Kampong Cham,2021,Apr,4,5,0
Kampong Cham,2021,May,5,6,0
Kampong Cham,2021,Jun,6,6,0
Kampong Cham,2021,Jul,7,4,0
Kampong Cham,2021,Aug,8,8,0
Kampong Cham,2021,Sep,9,2,0
Kampong Cham,2021,Oct,10,7,0
Kampong Cham,2021,Nov,11,9,0
Kampong Cham,2021,Dec,12,5,0
Kampong Cham,2022,Jan,1,11,0
Kampong Cham,2022,Feb,2,2,0
Kampong Cham,2022,Mar,3,8,0
Kampong Cham,2022,Apr,4,16,0
Kampong Cham,2022,May,5,54,0
Kampong Cham,2022,Jun,6,97,1
Kampong Cham,2022,Jul,7,81,0
Kampong Cham,2022,Aug,8,55,0
Kampong Cham,2022,Sep,9,41,0
Kampong Cham,2022,Oct,10,73,0
Kampong Cham,2022,Nov,11,53,0
Kampong Cham,2022,Dec,12,27,0
Kampong Cham,2023,Jan,1,32,0
Kampong Cham,2023,Feb,2,8,0
Kampong Cham,2023,Mar,3,27,1
Kampong Cham,2023,Apr,4,43,0
Kampong Cham,2023,May,5,83,0
Kampong Cham,2023,Jun,6,137,1
Kampong Cham,2023,Jul,7,302,4
Kampong Cham,2023,Aug,8,275,3
Kampong Cham,2023,Sep,9,188,1
Kampong Cham,2023,Oct,10,145,1
Kampong Cham,2023,Nov,11,164,1
Kampong Cham,2023,Dec,12,132,0
Kampong Cham,2024,Jan,1,109,0
Kampong Cham,2024,Feb,2,97,1
Kampong Cham,2024,Mar,3,111,2
Kampong Cham,2024,Apr,4,59,0
Kampong Cham,2024,May,5,26,0
Kampong Cham,2024,Jun,6,54,0
Kampong Cham,2024,Jul,7,166,1
Kampong Cham,2024,Aug,8,289,2
Kampong Cham,2024,Sep,9,131,2
Kampong Cham,2024,Oct,10,148,0
Kampong Cham,2024,Nov,11,3,0
Kampong Cham,2025,Jan,1,84,0
Kampong Cham,2025,Feb,2,45,0
Kampong Cham,2025,Mar,3,47,0
Kampong Cham,2025,Apr,4,117,1
Kampong Cham,2025,May,5,280,1
Kampong Cham,2025,Jun,6,567,1
Kampong Cham,2025,Jul,7,749,1
Kampong Cham,2025,Aug,8,417,2
Kampong Cham,2025,Sep,9,286,0
Kampong Cham,2025,Oct,10,296,0
Kampong Cham,2025,Nov,11,278,0
Kampong Cham,2025,Dec,12,133,1
Kampong Cham,2026,Jan,1,127,0
Kampong Cham,2026,Feb,2,57,0
Kampong Cham,2026,Mar,3,78,0
Kampong Cham,2026,Apr,4,118,1
Kampong Cham,2026,May,5,246,0
Kampong Cham,2026,Jun,6,887,2
Kampong Cham,2026,Jul,7,2021,3
Kampong Chhnang,2018,Jan,1,7,0
Kampong Chhnang,2018,Feb,2,5,0
Kampong Chhnang,2018,Mar,3,8,1
Kampong Chhnang,2018,Apr,4,25,0
Kampong Chhnang,2018,May,5,124,0
Kampong Chhnang,2018,Jun,6,246,0
Kampong Chhnang,2018,Jul,7,260,0
Kampong Chhnang,2018,Aug,8,124,0
Kampong Chhnang,2018,Sep,9,70,1
Kampong Chhnang,2018,Oct,10,42,0
Kampong Chhnang,2018,Nov,11,30,0
Kampong Chhnang,2018,Dec,12,49,0
Kampong Chhnang,2019,Jan,1,48,0
Kampong Chhnang,2019,Feb,2,29,0
Kampong Chhnang,2019,Mar,3,45,0
Kampong Chhnang,2019,Apr,4,84,0
Kampong Chhnang,2019,May,5,190,0
Kampong Chhnang,2019,Jun,6,608,0
Kampong Chhnang,2019,Jul,7,754,3
Kampong Chhnang,2019,Aug,8,335,1
Kampong Chhnang,2019,Sep,9,95,0
Kampong Chhnang,2019,Oct,10,46,0
Kampong Chhnang,2019,Nov,11,11,0
Kampong Chhnang,2019,Dec,12,4,0
Kampong Chhnang,2020,Jan,1,8,0
Kampong Chhnang,2020,Feb,2,12,0
Kampong Chhnang,2020,Mar,3,7,0
Kampong Chhnang,2020,Apr,4,6,0
Kampong Chhnang,2020,May,5,39,0
Kampong Chhnang,2020,Jun,6,58,0
Kampong Chhnang,2020,Jul,7,180,0
Kampong Chhnang,2020,Aug,8,150,0
Kampong Chhnang,2020,Sep,9,71,0
Kampong Chhnang,2020,Oct,10,26,0
Kampong Chhnang,2020,Nov,11,6,0
Kampong Chhnang,2020,Dec,12,7,0
Kampong Chhnang,2021,Jan,1,1,0
Kampong Chhnang,2021,Mar,3,2,0
Kampong Chhnang,2021,May,5,1,0
Kampong Chhnang,2021,Jun,6,13,0
Kampong Chhnang,2021,Jul,7,6,0
Kampong Chhnang,2021,Aug,8,2,0
Kampong Chhnang,2021,Oct,10,2,0
Kampong Chhnang,2021,Dec,12,3,1
Kampong Chhnang,2022,Jan,1,1,0
Kampong Chhnang,2022,Feb,2,1,0
Kampong Chhnang,2022,Mar,3,5,0
Kampong Chhnang,2022,Apr,4,5,0
Kampong Chhnang,2022,May,5,27,0
Kampong Chhnang,2022,Jun,6,42,0
Kampong Chhnang,2022,Jul,7,66,0
Kampong Chhnang,2022,Aug,8,34,0
Kampong Chhnang,2022,Sep,9,26,2
Kampong Chhnang,2022,Oct,10,19,0
Kampong Chhnang,2022,Nov,11,12,0
Kampong Chhnang,2022,Dec,12,6,0
Kampong Chhnang,2023,Jan,1,11,0
Kampong Chhnang,2023,Feb,2,3,0
Kampong Chhnang,2023,Mar,3,4,0
Kampong Chhnang,2023,Apr,4,5,0
Kampong Chhnang,2023,May,5,18,0
Kampong Chhnang,2023,Jun,6,55,0
Kampong Chhnang,2023,Jul,7,145,1
Kampong Chhnang,2023,Aug,8,163,0
Kampong Chhnang,2023,Sep,9,117,0
Kampong Chhnang,2023,Oct,10,104,3
Kampong Chhnang,2023,Nov,11,63,0
Kampong Chhnang,2023,Dec,12,55,0
Kampong Chhnang,2024,Jan,1,37,0
Kampong Chhnang,2024,Feb,2,8,0
Kampong Chhnang,2024,Mar,3,34,0
Kampong Chhnang,2024,Apr,4,14,0
Kampong Chhnang,2024,May,5,7,0
Kampong Chhnang,2024,Jun,6,45,0
Kampong Chhnang,2024,Jul,7,105,0
Kampong Chhnang,2024,Aug,8,99,0
Kampong Chhnang,2024,Sep,9,52,0
Kampong Chhnang,2024,Oct,10,39,0
Kampong Chhnang,2024,Nov,11,2,0
Kampong Chhnang,2025,Jan,1,28,0
Kampong Chhnang,2025,Feb,2,19,0
Kampong Chhnang,2025,Mar,3,34,0
Kampong Chhnang,2025,Apr,4,69,0
Kampong Chhnang,2025,May,5,171,0
Kampong Chhnang,2025,Jun,6,425,1
Kampong Chhnang,2025,Jul,7,635,1
Kampong Chhnang,2025,Aug,8,394,0
Kampong Chhnang,2025,Sep,9,168,1
Kampong Chhnang,2025,Oct,10,136,0
Kampong Chhnang,2025,Nov,11,80,0
Kampong Chhnang,2025,Dec,12,36,0
Kampong Chhnang,2026,Jan,1,28,0
Kampong Chhnang,2026,Feb,2,10,0
Kampong Chhnang,2026,Mar,3,42,0
Kampong Chhnang,2026,Apr,4,46,0
Kampong Chhnang,2026,May,5,119,0
Kampong Chhnang,2026,Jun,6,679,1
Kampong Chhnang,2026,Jul,7,979,3
Kampong Speu,2018,Jan,1,9,0
Kampong Speu,2018,Feb,2,9,0
Kampong Speu,2018,Mar,3,8,0
Kampong Speu,2018,Apr,4,23,0
Kampong Speu,2018,May,5,38,0
Kampong Speu,2018,Jun,6,67,0
Kampong Speu,2018,Jul,7,123,0
Kampong Speu,2018,Aug,8,94,0
Kampong Speu,2018,Sep,9,98,0
Kampong Speu,2018,Oct,10,101,1
Kampong Speu,2018,Nov,11,89,0
Kampong Speu,2018,Dec,12,68,0
Kampong Speu,2019,Jan,1,45,0
Kampong Speu,2019,Feb,2,40,0
Kampong Speu,2019,Mar,3,86,0
Kampong Speu,2019,Apr,4,115,0
Kampong Speu,2019,May,5,208,1
Kampong Speu,2019,Jun,6,475,2
Kampong Speu,2019,Jul,7,672,0
Kampong Speu,2019,Aug,8,714,1
Kampong Speu,2019,Sep,9,274,0
Kampong Speu,2019,Oct,10,200,0
Kampong Speu,2019,Nov,11,87,0
Kampong Speu,2019,Dec,12,46,1
Kampong Speu,2020,Jan,1,42,0
Kampong Speu,2020,Feb,2,31,0
Kampong Speu,2020,Mar,3,9,0
Kampong Speu,2020,Apr,4,14,0
Kampong Speu,2020,May,5,23,0
Kampong Speu,2020,Jun,6,74,0
Kampong Speu,2020,Jul,7,136,1
Kampong Speu,2020,Aug,8,150,1
Kampong Speu,2020,Sep,9,82,0
Kampong Speu,2020,Oct,10,18,0
Kampong Speu,2020,Nov,11,23,0
Kampong Speu,2020,Dec,12,21,0
Kampong Speu,2021,Jan,1,13,0
Kampong Speu,2021,Feb,2,7,0
Kampong Speu,2021,Mar,3,8,0
Kampong Speu,2021,Apr,4,15,0
Kampong Speu,2021,May,5,11,0
Kampong Speu,2021,Jun,6,12,0
Kampong Speu,2021,Jul,7,16,0
Kampong Speu,2021,Aug,8,19,0
Kampong Speu,2021,Sep,9,24,0
Kampong Speu,2021,Oct,10,33,0
Kampong Speu,2021,Nov,11,47,2
Kampong Speu,2021,Dec,12,14,0
Kampong Speu,2022,Jan,1,34,0
Kampong Speu,2022,Feb,2,14,0
Kampong Speu,2022,Mar,3,34,0
Kampong Speu,2022,Apr,4,43,0
Kampong Speu,2022,May,5,180,0
Kampong Speu,2022,Jun,6,289,2
Kampong Speu,2022,Jul,7,222,0
Kampong Speu,2022,Aug,8,178,0
Kampong Speu,2022,Sep,9,118,1
Kampong Speu,2022,Oct,10,129,0
Kampong Speu,2022,Nov,11,112,1
Kampong Speu,2022,Dec,12,32,0
Kampong Speu,2023,Jan,1,19,0
Kampong Speu,2023,Feb,2,12,0
Kampong Speu,2023,Mar,3,25,0
Kampong Speu,2023,Apr,4,31,0
Kampong Speu,2023,May,5,60,0
Kampong Speu,2023,Jun,6,155,1
Kampong Speu,2023,Jul,7,213,1
Kampong Speu,2023,Aug,8,323,1
Kampong Speu,2023,Sep,9,220,0
Kampong Speu,2023,Oct,10,182,0
Kampong Speu,2023,Nov,11,181,1
Kampong Speu,2023,Dec,12,112,1
Kampong Speu,2024,Jan,1,91,0
Kampong Speu,2024,Feb,2,49,0
Kampong Speu,2024,Mar,3,59,0
Kampong Speu,2024,Apr,4,35,0
Kampong Speu,2024,May,5,23,1
Kampong Speu,2024,Jun,6,25,0
Kampong Speu,2024,Jul,7,41,0
Kampong Speu,2024,Aug,8,82,0
Kampong Speu,2024,Sep,9,51,0
Kampong Speu,2024,Oct,10,62,0
Kampong Speu,2025,Jan,1,11,0
Kampong Speu,2025,Feb,2,10,0
Kampong Speu,2025,Mar,3,13,0
Kampong Speu,2025,Apr,4,32,0
Kampong Speu,2025,May,5,104,1
Kampong Speu,2025,Jun,6,452,1
Kampong Speu,2025,Jul,7,1276,1
Kampong Speu,2025,Aug,8,1287,0
Kampong Speu,2025,Sep,9,1011,1
Kampong Speu,2025,Oct,10,487,1
Kampong Speu,2025,Nov,11,285,0
Kampong Speu,2025,Dec,12,109,0
Kampong Speu,2026,Jan,1,238,0
Kampong Speu,2026,Feb,2,84,0
Kampong Speu,2026,Mar,3,88,0
Kampong Speu,2026,Apr,4,113,0
Kampong Speu,2026,May,5,192,0
Kampong Speu,2026,Jun,6,984,2
Kampong Speu,2026,Jul,7,1789,1
Kampong Thom,2018,Jan,1,6,0
Kampong Thom,2018,Feb,2,8,0
Kampong Thom,2018,Mar,3,29,0
Kampong Thom,2018,Apr,4,20,0
Kampong Thom,2018,May,5,63,0
Kampong Thom,2018,Jun,6,201,0
Kampong Thom,2018,Jul,7,229,0
Kampong Thom,2018,Aug,8,180,0
Kampong Thom,2018,Sep,9,82,0
Kampong Thom,2018,Oct,10,72,0
Kampong Thom,2018,Nov,11,84,0
Kampong Thom,2018,Dec,12,86,0
Kampong Thom,2019,Jan,1,133,0
Kampong Thom,2019,Feb,2,223,0
Kampong Thom,2019,Mar,3,316,0
Kampong Thom,2019,Apr,4,460,0
Kampong Thom,2019,May,5,773,1
Kampong Thom,2019,Jun,6,1493,2
Kampong Thom,2019,Jul,7,1697,3
Kampong Thom,2019,Aug,8,682,1
Kampong Thom,2019,Sep,9,195,0
Kampong Thom,2019,Oct,10,106,0
Kampong Thom,2019,Nov,11,50,0
Kampong Thom,2019,Dec,12,31,0
Kampong Thom,2020,Jan,1,40,0
Kampong Thom,2020,Feb,2,40,0
Kampong Thom,2020,Mar,3,29,0
Kampong Thom,2020,Apr,4,24,0
Kampong Thom,2020,May,5,56,0
Kampong Thom,2020,Jun,6,74,0
Kampong Thom,2020,Jul,7,136,0
Kampong Thom,2020,Aug,8,127,0
Kampong Thom,2020,Sep,9,60,0
Kampong Thom,2020,Oct,10,25,0
Kampong Thom,2020,Nov,11,21,0
Kampong Thom,2020,Dec,12,11,0
Kampong Thom,2021,Jan,1,5,0
Kampong Thom,2021,Feb,2,3,0
Kampong Thom,2021,Mar,3,4,0
Kampong Thom,2021,Apr,4,10,0
Kampong Thom,2021,May,5,2,0
Kampong Thom,2021,Jun,6,10,0
Kampong Thom,2021,Jul,7,5,0
Kampong Thom,2021,Sep,9,4,0
Kampong Thom,2021,Oct,10,2,0
Kampong Thom,2021,Nov,11,4,0
Kampong Thom,2021,Dec,12,1,0
Kampong Thom,2022,Feb,2,1,0
Kampong Thom,2022,Mar,3,8,0
Kampong Thom,2022,Apr,4,13,0
Kampong Thom,2022,May,5,76,0
Kampong Thom,2022,Jun,6,94,0
Kampong Thom,2022,Jul,7,76,0
Kampong Thom,2022,Aug,8,45,0
Kampong Thom,2022,Sep,9,36,0
Kampong Thom,2022,Oct,10,45,0
Kampong Thom,2022,Nov,11,43,0
Kampong Thom,2022,Dec,12,12,0
Kampong Thom,2023,Jan,1,20,0
Kampong Thom,2023,Feb,2,10,0
Kampong Thom,2023,Mar,3,16,0
Kampong Thom,2023,Apr,4,17,0
Kampong Thom,2023,May,5,51,0
Kampong Thom,2023,Jun,6,204,0
Kampong Thom,2023,Jul,7,354,1
Kampong Thom,2023,Aug,8,386,2
Kampong Thom,2023,Sep,9,315,2
Kampong Thom,2023,Oct,10,154,0
Kampong Thom,2023,Nov,11,205,1
Kampong Thom,2023,Dec,12,117,0
Kampong Thom,2024,Jan,1,73,0
Kampong Thom,2024,Feb,2,57,1
Kampong Thom,2024,Mar,3,93,2
Kampong Thom,2024,Apr,4,61,0
Kampong Thom,2024,May,5,15,0
Kampong Thom,2024,Jun,6,35,1
Kampong Thom,2024,Jul,7,122,0
Kampong Thom,2024,Aug,8,214,1
Kampong Thom,2024,Sep,9,116,0
Kampong Thom,2024,Oct,10,102,0
Kampong Thom,2024,Nov,11,3,0
Kampong Thom,2025,Jan,1,50,0
Kampong Thom,2025,Feb,2,43,0
Kampong Thom,2025,Mar,3,45,0
Kampong Thom,2025,Apr,4,76,0
Kampong Thom,2025,May,5,307,1
Kampong Thom,2025,Jun,6,928,5
Kampong Thom,2025,Jul,7,1354,2
Kampong Thom,2025,Aug,8,723,0
Kampong Thom,2025,Sep,9,355,0
Kampong Thom,2025,Oct,10,306,0
Kampong Thom,2025,Nov,11,185,0
Kampong Thom,2025,Dec,12,77,0
Kampong Thom,2026,Jan,1,69,0
Kampong Thom,2026,Feb,2,43,0
Kampong Thom,2026,Mar,3,51,0
Kampong Thom,2026,Apr,4,49,1
Kampong Thom,2026,May,5,156,0
Kampong Thom,2026,Jun,6,587,0
Kampong Thom,2026,Jul,7,1064,1
Kampot,2018,Jan,1,5,0
Kampot,2018,Feb,2,3,0
Kampot,2018,Mar,3,5,0
Kampot,2018,Apr,4,8,0
Kampot,2018,May,5,26,0
Kampot,2018,Jun,6,46,0
Kampot,2018,Jul,7,52,0
Kampot,2018,Aug,8,70,0
Kampot,2018,Sep,9,40,0
Kampot,2018,Oct,10,40,0
Kampot,2018,Nov,11,58,1
Kampot,2018,Dec,12,24,0
Kampot,2019,Jan,1,24,0
Kampot,2019,Feb,2,58,0
Kampot,2019,Mar,3,43,0
Kampot,2019,Apr,4,72,0
Kampot,2019,May,5,123,0
Kampot,2019,Jun,6,348,0
Kampot,2019,Jul,7,448,0
Kampot,2019,Aug,8,254,0
Kampot,2019,Sep,9,68,0
Kampot,2019,Oct,10,34,0
Kampot,2019,Nov,11,20,0
Kampot,2019,Dec,12,10,0
Kampot,2020,Jan,1,6,0
Kampot,2020,Feb,2,12,0
Kampot,2020,Mar,3,5,0
Kampot,2020,Apr,4,2,0
Kampot,2020,May,5,3,0
Kampot,2020,Jun,6,27,0
Kampot,2020,Jul,7,37,0
Kampot,2020,Aug,8,42,0
Kampot,2020,Sep,9,30,0
Kampot,2020,Oct,10,24,0
Kampot,2020,Nov,11,19,0
Kampot,2020,Dec,12,6,0
Kampot,2021,Jan,1,5,0
Kampot,2021,Feb,2,1,0
Kampot,2021,Apr,4,1,0
Kampot,2021,May,5,1,0
Kampot,2021,Jul,7,3,0
Kampot,2021,Aug,8,2,0
Kampot,2021,Sep,9,2,0
Kampot,2021,Oct,10,2,0
Kampot,2021,Nov,11,1,0
Kampot,2021,Dec,12,2,0
Kampot,2022,Jan,1,2,0
Kampot,2022,Feb,2,9,0
Kampot,2022,Mar,3,5,0
Kampot,2022,Apr,4,3,0
Kampot,2022,May,5,7,0
Kampot,2022,Jun,6,14,0
Kampot,2022,Jul,7,29,0
Kampot,2022,Aug,8,25,0
Kampot,2022,Sep,9,22,0
Kampot,2022,Oct,10,73,0
Kampot,2022,Nov,11,38,0
Kampot,2022,Dec,12,15,0
Kampot,2023,Jan,1,2,0
Kampot,2023,Feb,2,5,0
Kampot,2023,Mar,3,2,0
Kampot,2023,Apr,4,6,0
Kampot,2023,May,5,14,0
Kampot,2023,Jun,6,45,0
Kampot,2023,Jul,7,55,0
Kampot,2023,Aug,8,73,0
Kampot,2023,Sep,9,73,0
Kampot,2023,Oct,10,80,0
Kampot,2023,Nov,11,87,0
Kampot,2023,Dec,12,41,0
Kampot,2024,Jan,1,38,0
Kampot,2024,Feb,2,27,0
Kampot,2024,Mar,3,13,0
Kampot,2024,Apr,4,18,0
Kampot,2024,May,5,25,0
Kampot,2024,Jun,6,77,0
Kampot,2024,Jul,7,168,0
Kampot,2024,Aug,8,297,0
